DESCRIPTION OF EQUIPMENT,Manufacturer,Model,RDB_Part_Template
Coastal Pioneer Offshore Profiler Mooring,WHOI,CP04OSPM,Acomms-DUBO_343_Science Bay
Coastal Pioneer Offshore Surface Mooring,WHOI,CP04OSSM,Acomms-DUBO_343_Science Bay
Coastal Pioneer Upstream Inshore Profiler Mooring,WHOI,CP02PMUI,Acomms-DUBO_343_Science Bay
Coastal Pioneer Upstream Offshore Profiler Mooring,WHOI,CP02PMUO,Acomms-DUBO_343_Science Bay
Global Argentine Basin Apex Profiler Mooring,WHOI,GA02HYPM,Acomms-DUBO_343_Science Bay
Global Argentine Basin Apex Surface Mooring,WHOI,GA01SUMO,Acomms-DUBO_343_Science Bay
Global Argentine Basin Flanking Subsurface Mooring A,WHOI,GA03FLMA,Acomms-DUBO_343_Science Bay
Global Argentine Basin Flanking Subsurface Mooring B,WHOI,GA03FLMB,Acomms-DUBO_343_Science Bay
Global Argentine Basin Gliders,Teledyne Webb,GA05MOAS,Acomms-DUBO_343_Science Bay
Global Irminger Sea Apex Profiler Mooring,WHOI,GI02HYPM,Acomms-DUBO_343_Science Bay
Global Irminger Sea Apex Surface Mooring,WHOI,GI01SUMO,Acomms-DUBO_343_Science Bay
Global Irminger Sea Flanking Subsurface Mooring A,WHOI,GI03FLMA,Acomms-DUBO_343_Science Bay
Global Irminger Sea Flanking Subsurface Mooring B,WHOI,GI03FLMB,Acomms-DUBO_343_Science Bay
Global Irminger Sea Gliders,Teledyne Webb,GI05MOAS,Acomms-DUBO_343_Science Bay
Global Southern Ocean Apex Profiler Mooring,WHOI,GS02HYPM,Acomms-DUBO_343_Science Bay
Global Southern Ocean Apex Surface Mooring,WHOI,GS01SUMO,Acomms-DUBO_343_Science Bay
Global Southern Ocean Flanking Subsurface Mooring A,WHOI,GS03FLMA,Acomms-DUBO_343_Science Bay
Global Southern Ocean Flanking Subsurface Mooring B,WHOI,GS03FLMB,Acomms-DUBO_343_Science Bay
Global Southern Ocean Gliders,Teledyne Webb,GS05MOAS,Acomms-DUBO_343_Science Bay
Global Station Papa Apex Profiler Mooring,WHOI,GP02HYPM,Acomms-DUBO_343_Science Bay
Global Station Papa Flanking Subsurface Mooring A,WHOI,GP03FLMA,Acomms-DUBO_343_Science Bay
Global Station Papa Flanking Subsurface Mooring B,WHOI,GP03FLMB,Acomms-DUBO_343_Science Bay
Global Station Papa Gliders,Teledyne Webb,GP05MOAS,Acomms-DUBO_343_Science Bay
Coastal Pioneer Central Profiler Mooring,WHOI,CP01CNPM,Acomms-DUBO_343_Science Bay
Coastal Pioneer Inshore Profiler Mooring,WHOI,CP03ISPM,Acomms-DUBO_343_Science Bay
